id,dl_inserted_at,resources_engine,resources_resource_crc,resources_resource_stock_crc,resources_resource_stock_status,resources_resource_stock_stock_level,resources_resource_stock_version_nbr,resources_resource_stock_stock_end_dt,resources_resource_stock_stock_start_dt,resources_resource_status,resources_resource_category_crc,resources_resource_category_status,resources_resource_category_category_id,resources_resource_category_category_name,resources_resource_category_category_defn_state,resources_resource_comments,resources_resource_favorite,resources_resource_edit_perm,resources_resource_comment_id,resources_resource_assign_perm,resources_resource_last_mod_dt,resources_resource_resource_id,resources_resource_instructions,resources_resource_last_mod_user,resources_resource_resource_name,resources_resource_schedule_perm,resources_resource_instruction_id,resources_resource_current_stock_level,resources_resource_category,resources_resource_stock
450,2025-10-08 17:37:37.878392,accl,00000021,00000025,est,1000.0,2.0,2100-01-01,2016-12-22,est,00000021,est,308.0,BUMC - LETS,1.0,,F,F,405721,C,2017-04-20T11:54:17-04:00,450,,OUR FA1,*No Resources Required*,F,405722,1000,,
248,2025-10-08 17:37:38.207981,accl,00000022,00000023,est,2.0,2.0,2100-01-01,2016-12-22,est,00000021,est,308.0,BUMC - LETS,1.0,,F,F,,C,2025-04-29T11:45:37-04:00,248,,bumcfa04@bu.edu,Audio Recorder - Zoom H6,F,,2,,
493,2025-10-08 17:37:38.534802,accl,00000024,00000022,est,1.0,2.0,2100-01-01,2016-12-22,est,00000021,est,308.0,BUMC - LETS,1.0,,F,F,522487,C,2023-03-23T18:32:33-04:00,493,,BUMC FA1,BUMC - 302 Editing Workstation,F,522488,1,,
494,2025-10-08 17:37:38.864749,accl,00000023,00000022,est,1.0,2.0,2100-01-01,2016-12-22,est,00000021,est,308.0,BUMC - LETS,1.0,,F,F,522491,C,2023-03-23T18:34:30-04:00,494,,BUMC FA1,BUMC - 302A Content Creation Workstation,F,522492,1,,
495,2025-10-08 17:37:39.192517,accl,00000026,00000023,est,1.0,2.0,2100-01-01,2016-12-22,est,00000021,est,308.0,BUMC - LETS,1.0,Sole use by Communications Office,F,F,522494,C,2023-03-23T18:35:35-04:00,495,,BUMC FA1,BUMC - 302A ReadyCam - Restricted Use,F,,1,,
496,2025-10-08 17:37:39.572966,accl,00000025,00000021,est,1.0,2.0,2100-01-01,2016-12-22,est,00000021,est,308.0,BUMC - LETS,1.0,,F,F,522496,C,2023-03-23T18:36:17-04:00,496,,BUMC FA1,BUMC - 302A Video Production Studio,F,522497,1,,
482,2025-10-08 17:37:39.968098,accl,00000021,00000021,est,5.0,2.0,2100-01-01,2016-12-22,est,00000021,est,307.0,BUMC - Facilities Mgt.,1.0,,F,F,437002,C,2017-06-28T16:02:21-04:00,482,,r25admin,BUMC - 5 Flags,F,437003,5,,
223,2025-10-08 17:37:40.306397,accl,00000021,00000021,est,2.0,2.0,2100-01-01,2016-12-22,est,00000021,est,307.0,BUMC - Facilities Mgt.,1.0,,F,F,391694,C,2017-03-09T14:05:06-05:00,223,,service25,BUMC - 6' (Lobby ) Rectangular Tables,F,391695,2,,
231,2025-10-08 17:37:40.639895,accl,00000022,00000023,est,4.0,2.0,2100-01-01,2016-12-22,est,00000021,est,307.0,BUMC - Facilities Mgt.,1.0,,F,F,391758,C,2017-06-27T11:30:13-04:00,231,,r25admin,BUMC - 6' Rect Tables (L/R/A building),F,391759,4,,
224,2025-10-08 17:37:40.986614,accl,00000022,00000023,est,20.0,2.0,2100-01-01,2016-12-22,est,,,,,,,F,F,391696,C,2019-04-22T16:05:17-04:00,224,,BUMC FA1,BUMC - 6' Rectangular Tables - Hiebert,F,391697,20,"[{'crc': '00000021', 'status': 'est', 'category_id': 319, 'category_name': 'Building - Hiebert', 'category_defn_state': 1}, {'crc': '00000021', 'status': 'est', 'category_id': 307, 'category_name': 'BUMC - Facilities Mgt.', 'category_defn_state': 1}]",
225,2025-10-08 17:37:41.322576,accl,00000022,,,,,,,est,,,,,,,F,F,,C,2022-05-16T16:13:52-04:00,225,,BUMC FA1,BUMC - 6' Talbot Green Rect Tables,F,,2,"[{'crc': '00000021', 'status': 'est', 'category_id': 321, 'category_name': 'Building - Talbot', 'category_defn_state': 1}, {'crc': '00000021', 'status': 'est', 'category_id': 307, 'category_name': 'BUMC - Facilities Mgt.', 'category_defn_state': 1}]","[{'crc': '00000021', 'status': 'est', 'stock_level': 2, 'version_nbr': 11, 'stock_end_dt': '2100-12-31', 'stock_start_dt': '2022-05-19'}, {'crc': '00000021', 'status': 'est', 'stock_level': 0, 'version_nbr': 9, 'stock_end_dt': '2100-12-31', 'stock_start_dt': '2022-05-19'}, {'crc': '00000021', 'status': 'est', 'stock_level': 6, 'version_nbr': 5, 'stock_end_dt': '2100-01-01', 'stock_start_dt': '2016-12-22'}]"
226,2025-10-08 17:37:41.647635,accl,00000022,00000023,est,15.0,2.0,2100-01-01,2016-12-22,est,,,,,,,F,F,391701,C,2019-04-22T16:05:53-04:00,226,,BUMC FA1,BUMC - 60 inch Round Tables - Hiebert,F,391702,15,"[{'crc': '00000021', 'status': 'est', 'category_id': 319, 'category_name': 'Building - Hiebert', 'category_defn_state': 1}, {'crc': '00000021', 'status': 'est', 'category_id': 307, 'category_name': 'BUMC - Facilities Mgt.', 'category_defn_state': 1}]",
316,2025-10-08 17:37:41.976241,accl,00000022,00000022,est,25.0,2.0,2100-01-01,2016-12-22,est,00000021,est,307.0,BUMC - Facilities Mgt.,1.0,,F,F,,C,2020-08-31T12:44:34-04:00,316,,BUMC FA2,BUMC - 72 inch Round Table Cloth,F,,25,,
227,2025-10-08 17:37:42.312103,accl,00000022,00000022,est,6.0,3.0,2100-01-01,2016-12-22,est,,,,,,,F,F,391703,C,2019-04-22T16:06:26-04:00,227,,BUMC FA1,BUMC - 72 inch Round Tables - 670 Albany,F,391704,6,"[{'crc': '00000021', 'status': 'est', 'category_id': 320, 'category_name': 'Building - 670 Albany', 'category_defn_state': 1}, {'crc': '00000021', 'status': 'est', 'category_id': 307, 'category_name': 'BUMC - Facilities Mgt.', 'category_defn_state': 1}]",
